parcel_id,crop_code,crop_name,crop_purity,area_mu,area_ha,area_m2,perimeter_m,compactness,machinery_suitability,center_lon,center_lat
GLC10_P0230,10,大田农作物 (通用耕地),0.992,35.4,2.36,23600.0,1297.2,0.176,良 (标准规整农机作业区),-13.908593,16.088045
GLC10_P0231,10,大田农作物 (通用耕地),0.996,35.4,2.36,23600.0,930.9,0.342,良 (标准规整农机作业区),-13.757199,16.113793
GLC10_P0232,10,大田农作物 (通用耕地),1.0,35.25,2.35,23500.0,1077.5,0.254,良 (标准规整农机作业区),-12.866394,17.409304
GLC10_P0233,10,大田农作物 (通用耕地),1.0,34.65,2.31,23100.0,1584.9,0.116,良 (标准规整农机作业区),-13.271094,16.193717
GLC10_P0234,10,大田农作物 (通用耕地),1.0,34.65,2.31,23100.0,985.1,0.299,良 (标准规整农机作业区),-13.443053,16.064046
GLC10_P0235,10,大田农作物 (通用耕地),1.0,33.9,2.26,22600.0,1326.6,0.161,良 (标准规整农机作业区),-13.963778,16.294464
GLC10_P0236,10,大田农作物 (通用耕地),0.991,33.9,2.26,22600.0,1508.8,0.125,良 (标准规整农机作业区),-13.669956,16.18393
GLC10_P0237,10,大田农作物 (通用耕地),0.996,33.75,2.25,22500.0,1120.8,0.225,良 (标准规整农机作业区),-13.182776,16.822616
GLC10_P0238,10,大田农作物 (通用耕地),0.996,33.6,2.24,22400.0,938.1,0.32,良 (标准规整农机作业区),-13.207012,16.193109
GLC10_P0239,10,大田农作物 (通用耕地),0.991,33.0,2.2,22000.0,919.0,0.327,良 (标准规整农机作业区),-13.650477,16.007077
GLC10_P0240,10,大田农作物 (通用耕地),0.991,32.85,2.19,21900.0,1258.3,0.174,良 (标准规整农机作业区),-13.040351,17.021819
GLC10_P0241,10,大田农作物 (通用耕地),0.991,32.7,2.18,21800.0,842.2,0.386,优 (集中连片优质适机区),-13.474356,16.145983
GLC10_P0242,10,大田农作物 (通用耕地),1.0,32.25,2.15,21500.0,775.2,0.45,优 (集中连片优质适机区),-13.471671,16.146018
GLC10_P0243,10,大田农作物 (通用耕地),0.967,32.25,2.15,21500.0,753.2,0.476,优 (集中连片优质适机区),-13.654227,17.315754
GLC10_P0244,10,大田农作物 (通用耕地),1.0,32.1,2.14,21400.0,768.8,0.455,优 (集中连片优质适机区),-13.809588,16.108888
GLC10_P0245,10,大田农作物 (通用耕地),0.991,31.95,2.13,21300.0,1184.1,0.191,良 (标准规整农机作业区),-13.624146,16.607212
GLC10_P0246,10,大田农作物 (通用耕地),1.0,31.8,2.12,21200.0,1164.6,0.196,良 (标准规整农机作业区),-13.256628,16.181535
GLC10_P0247,10,大田农作物 (通用耕地),1.0,31.35,2.09,20900.0,816.3,0.394,优 (集中连片优质适机区),-12.576137,16.127969
